game_id,play_id,dci_supervised,dis_final,epa,pass_result,yards_gained,down,yards_to_go,offense_formation,team_coverage_type
2023122502,4108,0.6816971561982701,0.47357327,3.1478776615113,C,9,4,9,SHOTGUN,COVER_0_MAN
2023122502,4419,0.5809734844192628,0.5599328,-3.49043466121657,IN,0,4,17,SHOTGUN,COVER_4_ZONE
2023122502,3363,0.6256927912658403,0.25719804,-2.43733601435088,C,-1,4,11,SHOTGUN,COVER_1_MAN
2023102200,3807,0.4443559295149116,0.7306879,-3.37675234739436,I,0,4,10,SHOTGUN,COVER_1_MAN
2023122502,3656,0.4173552147259444,0.7439387,2.75479633081704,C,22,3,10,SHOTGUN,COVER_6_ZONE
2023102200,1198,0.1857531063860184,0.030730842,0.152092879172415,C,13,3,16,SHOTGUN,COVER_3_ZONE
2023102200,1478,0.2322067317240471,0.020732403,0.825596496462822,C,14,1,10,I_FORM,COVER_3_ZONE
2023102200,3583,0.1984853200953698,0.18202503,0.399417673819698,C,7,1,10,SHOTGUN,COVER_3_ZONE
2023102200,3498,0.2740810977668667,0.050420433,-0.549850641749799,C,0,1,10,SHOTGUN,COVER_4_ZONE
2023122502,2366,0.2811787707676492,0.03160143,-0.349420815706253,C,4,2,9,PISTOL,COVER_2_ZONE
